MISSION ELAPSED TIME (min),dist
329.6427943,104859.9587
330.6427943,105008.8739
331.6427943,105157.3108
332.6427943,105305.2718
333.6427943,105452.7595
334.6427943,105599.7763
335.6427943,105746.3247
336.6427943,105892.4071
337.6427943,106038.0258
338.6427943,106183.1833
339.6427943,106327.8818
340.6427943,106472.1237
341.6427943,106615.9114
342.6427943,106759.247
343.6427943,106902.1328
344.6427943,107044.5711
345.6427943,107186.564
346.6427943,107328.1138
347.6427943,107469.2227
348.6427943,107609.8927
349.6427943,107750.126
350.6427943,107889.9248
351.6427943,108029.291
352.6427943,108168.2269
353.6427943,108306.7344
354.6427943,108444.8156
355.6427943,108582.4724
356.6427943,108719.707
357.6427943,108856.5212
358.6427943,108992.917
359.6427943,109128.8964
360.6427943,109264.4613
361.6427943,109399.6137
362.6427943,109534.3553
363.6427943,109668.6881
364.6427943,109802.614
365.6427943,109936.1348
366.6427943,110069.2523
367.6427943,110201.9683
368.6427943,110334.2847
369.6427943,110466.2032
370.6427943,110597.7256
371.6427943,110728.8536
372.6427943,110859.5891
373.6427943,110989.9336
374.6427943,111119.889
375.6427943,111249.4569
376.6427943,111378.639
377.6427943,111507.437
378.6427943,111635.8526
379.6427943,111763.8873
380.6427943,111891.5428
381.6427943,112018.8207
382.6427943,112145.7227
383.6427943,112272.2503
384.6427943,112398.4051
385.6427943,112524.1887
386.6427943,112649.6027
387.6427943,112774.6485
388.6427943,112899.3276
389.6427943,113023.6418
390.6427943,113147.5923
391.6427943,113271.1808
392.6427943,113394.4088
393.6427943,113517.2776
394.6427943,113639.7887
395.6427943,113761.9437
396.6427943,113883.744
397.6427943,114005.1909
398.6427943,114126.2859
399.6427943,114247.0305
400.6427943,114367.426
401.6427943,114487.4738
402.6427943,114607.1753
403.6427943,114726.5318
404.6427943,114845.5448
405.6427943,114964.2156
406.6427943,115082.5456
407.6427943,115200.5359
408.6427943,115318.1881
409.6427943,115435.5034
410.6427943,115552.4831
411.6427943,115669.1285
412.6427943,115785.4409
413.6427943,115901.4216
414.6427943,116017.0718
415.6427943,116132.3929
416.6427943,116247.386
417.6427943,116362.0525
418.6427943,116476.3935
419.6427943,116590.4103
420.6427943,116704.1041
421.6427943,116817.4762
422.6427943,116930.5277
423.6427943,117043.2598
424.6427943,117155.6738
425.6427943,117267.7708
426.6427943,117379.552
427.6427943,117491.0186
428.6427943,117602.1717
429.6427943,117713.0125
430.6427943,117823.5422
431.6427943,117933.7618
432.6427943,118043.6726
433.6427943,118153.2756
434.6427943,118262.5719
435.6427943,118371.5628
436.6427943,118480.2493
437.6427943,118588.6324
438.6427943,118696.7134
439.6427943,118804.4932
440.6427943,118911.9731
441.6427943,119019.154
442.6427943,119126.037
443.6427943,119232.6232
444.6427943,119338.9136
445.6427943,119444.9094
446.6427943,119550.6115
447.6427943,119656.021
448.6427943,119761.1389
449.6427943,119865.9664
450.6427943,119970.5043
451.6427943,120074.7537
452.6427943,120178.7157
453.6427943,120282.3912
454.6427943,120385.7812
455.6427943,120488.8869
456.6427943,120591.709
457.6427943,120694.2487
458.6427943,120796.5069
459.6427943,120898.4846
460.6427943,121000.1828
461.6427943,121101.6025
462.6427943,121202.7445
463.6427943,121303.61
464.6427943,121404.1997
465.6427943,121504.5148
466.6427943,121604.5561
467.6427943,121704.3245
468.6427943,121803.8211
469.6427943,121903.0468
470.6427943,122002.0024
471.6427943,122100.6889
472.6427943,122199.1073
473.6427943,122297.2584
474.6427943,122395.1431
475.6427943,122492.7625
476.6427943,122590.1173
477.6427943,122687.2085
478.6427943,122784.037
479.6427943,122880.6037
480.6427943,122976.9095
481.6427943,123072.9552
482.6427943,123168.7417
483.6427943,123264.27
484.6427943,123359.5408
485.6427943,123454.5552
486.6427943,123549.3139
487.6427943,123643.8178
488.6427943,123738.0677
489.6427943,123832.0646
